#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
66,Seranthony Domínguez,BAL,0,62,62,259,3,3,0,3,12,,54,27,26,8,1,3,69,22,9.99,3.24,3.71,1.22
67,Kenta Maeda,DET,2,57,63.1,264,3,3,1,0,6,,59,29,27,9,1,3,62,16,8.77,2.21,3.84,1.18
68,Yennier Cano,BAL,0,61,61,255,3,3,0,1,12,,56,25,23,5,1,2,61,21,8.98,3.16,3.4,1.27
69,Dane Dunning,TEX,3,63,77.2,331,4,4,1,0,5,,76,37,34,10,1,4,73,24,8.43,2.8,3.95,1.29
70,Brady Basso,ATH,2,46,53,220,3,3,1,0,1,,49,23,21,7,1,2,50,14,8.53,2.43,3.6,1.19
71,Ian Hamilton,NYY,0,60,60,254,3,3,0,1,15,,52,26,23,6,1,3,65,23,9.72,3.47,3.52,1.26
72,Colin Holderman,PIT,0,62,62,265,3,3,0,3,13,,56,29,27,6,2,3,63,25,9.17,3.69,3.85,1.32
73,Joe Kelly,,0,40,40,168,2,2,0,0,0,,33,16,14,3,1,2,48,18,10.71,3.96,3.22,1.26
74,Erik Miller,SFG,0,61,61,258,3,3,0,1,12,,47,24,22,6,1,2,76,30,11.22,4.43,3.19,1.26
75,Kenley Jansen,,0,60,60,251,3,3,0,0,0,,50,27,25,8,2,2,69,23,10.32,3.44,3.82,1.21
76,Gregory Soto,BAL,0,59,59,248,3,3,0,0,10,,50,24,22,6,1,3,67,25,10.28,3.8,3.38,1.26
